,name,prob
0,WILLIAMS,0.0239320190139272
1,JOHNSON,0.0178811580414881
2,SMITH,0.0157743794532764
3,JONES,0.0148338655882678
4,BROWN,0.0148125293791092
5,JACKSON,0.0108109768831159
6,DAVIS,0.0105439683731612
7,THOMAS,0.0087869812569623
8,HARRIS,0.0072919744939002
9,ROBINSON,0.0069601543808561
10,WILSON,0.0060360632789903
11,MOORE,0.0055457893115495
12,TAYLOR,0.005300919986367
13,WALKER,0.0052266638605855
14,LEWIS,0.005209916083504
15,WHITE,0.005154090159899
16,GREEN,0.0048437974406834
17,WASHINGTON,0.0043952399682105
18,SCOTT,0.0043203338145515
19,THOMPSON,0.0042092746398181
20,WRIGHT,0.0041630079497071
21,ANDERSON,0.0039574844295859
22,MITCHELL,0.0039528386421078
23,HILL,0.0036330631632662
24,CARTER,0.0035495728179295
25,ALLEN,0.0035459594276688
26,YOUNG,0.0032986047017778
27,HALL,0.0031871631577046
28,JAMES,0.0031730154921335
29,KING,0.0031250090215266
30,EDWARDS,0.0030375802719904
31,CLARK,0.0030336801047248
32,RICHARDSON,0.0029166942052251
33,JENKINS,0.0028263212117727
34,SIMMONS,0.0027513768211797
35,TURNER,0.0027489870128062
36,EVANS,0.002687062298232
37,BELL,0.0026293054094612
38,BRYANT,0.002490734760732
39,COLEMAN,0.0024403002448177
40,ADAMS,0.0024103416070474
41,PARKER,0.002398258735911
42,HOWARD,0.0023368119830115
43,CAMPBELL,0.0023109255787097
44,SANDERS,0.0023000854079275
45,COOPER,0.0022030974248973
46,BROOKS,0.0022022562123498
47,JOSEPH,0.0021570410379232
48,STEWART,0.0020944471770044
49,COLLINS,0.002061563413785
50,DIXON,0.0020325798178312
51,BUTLER,0.0020160232254195
52,ALEXANDER,0.0019937119744445
53,HENDERSON,0.0019424553644496
54,ROBERTS,0.0019400082006752
55,NELSON,0.0019305445595161
56,WATSON,0.0019221515525084
57,BAKER,0.0019214059322958
58,GRAHAM,0.0018713920226552
59,GRANT,0.001870072848433
60,HOLMES,0.00186533146862
61,JORDAN,0.0018592709145848
62,BARNES,0.0018433643500507
63,DANIELS,0.0018200015833914
64,GRIFFIN,0.001809486426548
65,POWELL,0.0017442350987179
66,PERRY,0.0017398952067116
67,WOODS,0.0017167618616561
68,BAILEY,0.0017074320497659
69,MORRIS,0.0016932652657278
70,FORD,0.0016842413493095
71,PATTERSON,0.0016666714781475
72,ROGERS,0.0016558504258323
73,FOSTER,0.0016524282202414
74,HUNTER,0.0016521796801706
75,GRAY,0.0016437293177619
76,FREEMAN,0.0015359585193504
77,HENRY,0.001507911728279
78,ROSS,0.0015056939861084
79,BENNETT,0.0014873020208659
80,REED,0.0014767486270885
81,GORDON,0.0014579551740393
82,HAMILTON,0.0014559668534725
83,BANKS,0.0014419530171703
84,MARSHALL,0.0014173093132227
85,SIMS,0.0013922641214684
86,HAYES,0.0013825137033046
87,OWENS,0.0013666644941715
88,KELLY,0.0013600686230606
89,HARRISON,0.0013332454138764
90,MACK,0.0013318497657863
91,REID,0.0013303394068942
92,WALLACE,0.0013173579678094
93,WARD,0.0013102267796229
94,GIBSON,0.0012934598840744
95,BOYD,0.0012647248281914
96,CRAWFORD,0.0012498506608747
97,FRANKLIN,0.0012330646468592
98,HICKS,0.0012112122390919
99,FRAZIER,0.001204654604915
100,ELLIS,0.0011898377929993
101,WATKINS,0.0011689986639824
102,PIERRE,0.0011581393747332
103,STEPHENS,0.0011546024583404
104,HAWKINS,0.0011422136917321
105,MATTHEWS,0.0011363634408338
106,TUCKER,0.0011333044861157
107,GREENE,0.0011175508693176
108,MURRAY,0.0011053532873792
109,WILLIS,0.0011022560957272
110,SIMPSON,0.0010925439144973
111,HUDSON,0.0010902114615247
112,BYRD,0.0010603101791555
113,GLOVER,0.0010589336495323
114,PORTER,0.0010584365693906
115,CHARLES,0.001054651112927
116,RUSSELL,0.0010492023498354
117,SINGLETON,0.001048265544953
118,ALSTON,0.001025973412445
119,FIELDS,0.00101794365631
120,LAWRENCE,0.001014789109257
121,JEFFERSON,0.0010114816144681
122,KNIGHT,0.0010092065168965
123,DOUGLAS,0.000993701440169264
124,WEST,0.0009902218791774447
125,BRADLEY,0.0009867040812516494
126,ANDREWS,0.0009866658443176734
127,WARREN,0.000980222920942711
128,WELLS,0.0009593837919257704
129,LITTLE,0.000954795359848646
130,MASON,0.000939481467791243
131,OLIVER,0.0009328091228124244
132,SHAW,0.0009280677429993956
133,RILEY,0.0009071903770484792
134,MONTGOMERY,0.0009043990808682284
135,MCCOY,0.0009032137359149711
136,CUNNINGHAM,0.0008985488299698948
137,PETERSON,0.0008903087706980587
138,CURRY,0.0008884733978672088
139,SPENCER,0.000870349091162567
140,ROBERTSON,0.0008618604918198867
141,WEBB,0.0008599104081871088
142,FERGUSON,0.0008596045127153005
143,HARDY,0.0008595280388473484
144,HARPER,0.000849949686886351
145,BLACK,0.0008452656624742864
146,HAYNES,0.0008410213628029462
147,HARVEY,0.0008323798157243617
148,AUSTIN,0.0008305253244265239
149,MILLS,0.0008294738087421829
150,BATTLE,0.0008267972233638603
151,FRANCIS,0.0008110244880987447
152,PERKINS,0.0008095714846076554
153,CALDWELL,0.0008063022267527041
154,HINES,0.0008032815089685972
155,PALMER,0.0008031094427657049
156,RIVERS,0.0007936458016066357
157,GARDNER,0.0007863234287502245
158,BURTON,0.0007861322440803443
159,MCCRAY,0.0007854822162027517
160,NEAL,0.000785004254528
161,INGRAM,0.000782786512357441
162,FULLER,0.0007818305890080401
163,DANIEL,0.0007811805611304475
